DBMS,Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
TiDB,83.0,77.0,72.0,"Relational, Multi-model",3.42,+0.04,-0.67,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed SQL database that supports Hybrid Transactional/Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"8.2.0, July 2024",Open Source,Apache 2.0,no
RocksDB,84.0,88.0,97.0,Key-value,3.33,+0.41,+0.49,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"9.4.0, June 2024",Open Source,BSD,no
Riak KV,85.0,78.0,76.0,Key-value,3.32,-0.03,-0.52,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no
Apache Derby,86.0,85.0,68.0,Relational,3.28,+0.22,-0.95,https://db-engines.com/en/system/Apache+Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no
SAP SQL Anywhere,87.0,81.0,81.0,Relational,3.26,-0.04,-0.24,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
Apache Ignite,88.0,83.0,90.0,Multi-model,3.1,-0.02,+0.10,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,"2.16.0, December 2023",Open Source,Apache 2.0,no
Google Cloud Spanner,89.0,92.0,101.0,Relational,3.08,+0.28,+0.39,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
OceanBase,90.0,90.0,119.0,Multi-model,3.04,+0.22,+1.07,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2010.0,"4.3.0, April 2024",Open Source,Commercial license available,no
ArangoDB,91.0,89.0,82.0,Multi-model,2.94,+0.03,-0.37,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no
GemFire,92.0,91.0,103.0,"Key-value, Multi-model",2.93,+0.12,+0.29,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no
Weaviate,93.0,109.0,149.0,Vector,2.91,+0.63,+1.43,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no
Microsoft Azure Table Storage,94.0,95.0,80.0,Wide column,2.84,+0.14,-0.71,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
HyperSQL,95.0,94.0,85.0,Relational,2.83,+0.09,-0.31,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no
IBM Cloudant,96.0,101.0,95.0,Document,2.79,+0.28,-0.07,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
Google Cloud Bigtable,97.0,98.0,92.0,Multi-model,2.75,+0.15,-0.22,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes
Adabas,98.0,93.0,104.0,Multivalue,2.69,-0.07,+0.05,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Coveo,99.0,102.0,116.0,Search engine,2.66,+0.16,+0.52,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
SAP IQ,100.0,106.0,106.0,Relational,2.63,+0.28,+0.07,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no
OrientDB,101.0,96.0,88.0,Multi-model,2.59,-0.05,-0.43,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.29, March 2024",Open Source,Apache version 2,no
Apache Accumulo,102.0,107.0,84.0,Wide column,2.55,+0.27,-0.68,https://db-engines.com/en/system/Apache+Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no
Virtuoso,103.0,99.0,75.0,Multi-model,2.53,-0.04,-1.46,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no
NebulaGraph,104.0,110.0,122.0,Graph,2.53,+0.27,+0.61,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
Apache Jena - TDB,105.0,104.0,93.0,RDF,2.51,+0.14,-0.40,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no
Memgraph,106.0,105.0,94.0,Graph,2.44,+0.07,-0.47,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,Open Source,BSL 1.1; commercial license for enterprise edition available,no
Amazon Neptune,107.0,103.0,113.0,Multi-model,2.42,+0.04,+0.22,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
RavenDB,108.0,100.0,102.0,"Document, Multi-model",2.42,-0.10,-0.25,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no
RethinkDB,109.0,108.0,105.0,"Document, Multi-model",2.4,+0.11,-0.18,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no
Chroma,110.0,111.0,129.0,Vector,2.37,+0.15,+0.48,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no
GraphDB,111.0,97.0,99.0,Multi-model,2.36,-0.26,-0.41,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store","Ontotext, trading as Graphwise","Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"11.1, August 2025",commercial,Some plugins of GraphDB Workbench are open sourced,no
InterSystems IRIS,112.0,112.0,91.0,Multi-model,2.27,+0.10,-0.71,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2023.3, June 2023",commercial,,no
"UniData,UniVerse",113.0,113.0,112.0,Multivalue,2.27,+0.14,+0.01,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
Citus,114.0,118.0,117.0,"Relational, Multi-model",2.21,+0.24,+0.08,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
Apache Phoenix,115.0,115.0,125.0,Relational,2.18,+0.18,+0.28,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,A scale-out RDBMS with evolutionary schema built on Apache HBase,2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
YugabyteDB,116.0,114.0,108.0,"Relational, Multi-model",2.13,+0.12,-0.35,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2024.2, December 2024",Open Source,Apache 2.0,no
Percona Server for MySQL,117.0,119.0,118.0,Relational,2.11,+0.15,+0.05,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.36-28, 2024",Open Source,GPL version 2,no
LevelDB,118.0,121.0,111.0,Key-value,2.1,+0.18,-0.23,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no
4D,119.0,116.0,110.0,Relational,2.07,+0.07,-0.30,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no
Infinispan,120.0,120.0,109.0,Key-value,2.04,+0.11,-0.36,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no
LMDB,121.0,123.0,120.0,Key-value,2.01,+0.14,+0.07,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.32, January 2024",Open Source,,no
GridDB,122.0,128.0,123.0,"Time Series, Multi-model",2.0,+0.24,+0.09,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
PouchDB,123.0,125.0,114.0,Document,1.97,+0.13,-0.21,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no
Amazon DocumentDB,124.0,124.0,124.0,Document,1.95,+0.10,+0.04,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
DolphinDB,125.0,117.0,100.0,Multi-model,1.95,-0.04,-0.77,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
Amazon CloudSearch,126.0,127.0,133.0,Search engine,1.93,+0.14,+0.08,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
CloudKit,127.0,126.0,132.0,Document,1.93,+0.13,+0.07,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
Apache Drill,128.0,130.0,126.0,Multi-model,1.86,+0.14,-0.04,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
MaxDB,129.0,122.0,115.0,Relational,1.86,-0.04,-0.29,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10.12, February 2024",commercial,Limited community edition free,no
JanusGraph,130.0,129.0,134.0,Graph,1.86,+0.13,+0.00,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"1.0.0, October 2023",Open Source,Apache 2.0,no
TDengine,131.0,136.0,107.0,"Time Series, Multi-model",1.82,+0.20,-0.66,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"AGPL V3, also commercial editions available",no
EDB Postgres,132.0,135.0,131.0,"Relational, Multi-model",1.8,+0.18,-0.06,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
TigerGraph,133.0,147.0,152.0,Graph,1.8,+0.34,+0.37,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
Oracle Coherence,134.0,133.0,127.0,Key-value,1.79,+0.11,-0.11,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"14.1, August 2023",commercial,,no
VictoriaMetrics,135.0,143.0,165.0,Time Series,1.75,+0.25,+0.52,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no
Stardog,136.0,131.0,121.0,Multi-model,1.75,+0.04,-0.17,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
Valkey,137.0,144.0,,Key-value,1.73,+0.23,,https://db-engines.com/en/system/Valkey,,,Open source key/value datastore,2024.0,"Valkey 8.0.1, October 2024",Open Source,,no
Amazon SimpleDB,138.0,134.0,128.0,Key-value,1.71,+0.04,-0.17,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
Apache IoTDB,139.0,141.0,159.0,Time Series,1.69,+0.15,+0.38,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no
SpatiaLite,140.0,139.0,142.0,"Spatial, Multi-model",1.68,+0.13,+0.12,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
Oracle Berkeley DB,141.0,132.0,130.0,Multi-model,1.65,-0.04,-0.22,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
RRDtool,142.0,140.0,136.0,Time Series,1.65,+0.11,-0.05,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
HFSQL,143.0,138.0,169.0,Relational,1.59,-0.01,+0.41,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no
Datomic,144.0,149.0,144.0,Relational,1.58,+0.14,+0.03,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.7180, July 2024",commercial,limited edition free,no
OpenTSDB,145.0,148.0,140.0,Time Series,1.58,+0.12,-0.02,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,Scalable Time Series DBMS based on HBase,2011.0,,Open Source,LGPL,no
GBase,146.0,145.0,173.0,Relational,1.58,+0.09,+0.46,https://db-engines.com/en/system/GBase,,"General Data Technology Co., Ltd.","Widely used RDBMS in China, including analytical, transactional, distributed transactional, and cloud-native data warehousing.",2004.0,"GBase 8a, GBase 8s, GBase 8c",commercial,,no
Fauna,147.0,146.0,143.0,Multi-model,1.58,+0.10,+0.02,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
EXASOL,148.0,142.0,138.0,Relational,1.57,+0.05,-0.09,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
MonetDB,149.0,137.0,135.0,"Relational, Multi-model",1.55,-0.06,-0.17,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Dec2023 (11.49), December 2023",Open Source,Mozilla Public License 2.0,no
Alibaba Cloud PolarDB,150.0,152.0,205.0,Relational,1.53,+0.17,+0.71,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes
BaseX,151.0,150.0,141.0,Native XML,1.53,+0.11,-0.03,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"11.2, August 2024",Open Source,BSD license,no
PlanetScale,152.0,169.0,178.0,"Relational, Multi-model",1.5,+0.29,+0.41,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes
Meilisearch,153.0,162.0,186.0,Multi-model,1.48,+0.21,+0.48,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS",,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no
Geode,154.0,161.0,147.0,Key-value,1.4,+0.12,-0.10,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no
GridGain,155.0,158.0,150.0,Multi-model,1.39,+0.10,-0.09,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on Apache Ignite",2007.0,GridGain 8.5.1,"commercial, open source",,no
IMS,156.0,155.0,146.0,Navigational,1.38,+0.04,-0.14,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15.6.x, June 2025",commercial,,no
jBASE,157.0,151.0,157.0,Multivalue,1.38,-0.02,+0.02,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no
Tarantool,158.0,157.0,139.0,Multi-model,1.37,+0.09,-0.26,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no
Amazon Timestream,159.0,164.0,167.0,Time Series,1.36,+0.09,+0.14,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes
Dgraph,160.0,165.0,155.0,Graph,1.34,+0.09,-0.06,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
TDSQL for MySQL,161.0,160.0,192.0,"Relational, Multi-model",1.33,+0.05,+0.37,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes
StarRocks,162.0,159.0,193.0,Relational,1.33,+0.05,+0.38,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"3.3, June 2024",Open Source,Apache Version 2.0,no
openGauss,163.0,178.0,175.0,"Relational, Multi-model",1.33,+0.20,+0.22,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no
D3,164.0,153.0,161.0,Multivalue,1.29,-0.06,+0.02,https://db-engines.com/en/system/D3,,"Rocket, formerly TigerLogic",,1999.0,,commercial,,no
VoltDB,165.0,168.0,156.0,Relational,1.29,+0.08,-0.08,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
Empress,166.0,156.0,137.0,Relational,1.29,-0.02,-0.40,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no
IBM Db2 warehouse,167.0,170.0,162.0,Relational,1.29,+0.08,+0.02,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
SQLBase,168.0,163.0,176.0,Relational,1.28,+0.01,+0.18,https://db-engines.com/en/system/SQLBase,,Open Text,,1985.0,,commercial,,no
SurrealDB,169.0,173.0,174.0,Multi-model,1.28,+0.14,+0.17,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,"v1.5.0, May 2024",Open Source,,no
Vitess,170.0,177.0,202.0,"Relational, Multi-model",1.26,+0.13,+0.39,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no
Mnesia,171.0,180.0,166.0,Document,1.25,+0.13,+0.03,https://db-engines.com/en/system/Mnesia,,Ericsson,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no
Typesense,172.0,191.0,209.0,Search engine,1.25,+0.29,+0.45,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no
Tibero,173.0,154.0,151.0,Relational,1.24,-0.12,-0.22,https://db-engines.com/en/system/Tibero,,TmaxTibero,"Tibero is a high-performance, cost-effective RDBMS designed for enterprises seeking an Oracle-compatible alternative. It provides TAC (Tibero Active Cluster) high availability architecture, implemented with the same technology as Oracle RAC.",2003.0,"7, September 2022",commercial,,no
Amazon Keyspaces,174.0,174.0,183.0,Wide column,1.23,+0.09,+0.18,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available Cassandra–compatible database service",2019.0,,commercial,,yes
Apache Kylin,175.0,179.0,171.0,Relational,1.22,+0.09,+0.08,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no
Actian NoSQL Database,176.0,166.0,154.0,Object oriented,1.21,-0.02,-0.20,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no
ObjectBox,177.0,181.0,179.0,Multi-model,1.21,+0.13,+0.12,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS",ObjectBox Limited,"Lightweight, fast on-device database for IoT, Mobile and Embedded devices, persisting and synchronising objects and vectors",2017.0,4.0 (May 2024),Bindings are released under Apache 2.0,Apache License 2.0,no
Db4o,178.0,176.0,160.0,Object oriented,1.21,+0.07,-0.08,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no
LiteDB,179.0,184.0,168.0,Document,1.19,+0.13,+0.01,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
ObjectStore,180.0,167.0,158.0,Object oriented,1.18,-0.04,-0.16,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no
HEAVY.AI,181.0,172.0,153.0,"Relational, Multi-model",1.16,+0.01,-0.25,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no
KurrentDB (aka EventStoreDB),182.0,182.0,181.0,"Event, Multi-model",1.15,+0.08,+0.08,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS","Kurrent, Inc. (aka EventStoreDB)","An event-driven database that records every change as an immutable event, indexes it for fast access via fine-grained streams, and projects it into state exposed via pub/sub or database tables for efficient event-driven workflows.",2012.0,"25.1, October 2025",Source Available,,no
TimesTen,183.0,175.0,164.0,Relational,1.13,-0.01,-0.13,https://db-engines.com/en/system/TimesTen,,Oracle,An in-memory SQL relational database that delivers microsecond response and high throughput for OLTP applications. TimesTen can be deployed as a standalone database or as a cache to a backend Oracle database.,1998.0,Release 22.1,commercial,,no
Datameer,184.0,171.0,170.0,Document,1.12,-0.04,-0.04,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
Giraph,185.0,183.0,172.0,Graph,1.08,+0.02,-0.05,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no
