DBMS,Rank_Jul-2024,Rank_Jun-2024,Rank_Jul-2023,Database Model,Score_Jul-2024,Score_Jun-2024,Score_Jul-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Microsoft Azure Cosmos DB,27.0,27.0,26.0,Multi-model,27.12,-0.59,-9.38,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes,2014,,N,Y
InfluxDB,28.0,28.0,28.0,"Time Series, Multi-model",23.59,-0.79,-7.33,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.6, April 2024",Open Source,MIT-License; commercial enterprise version available,no,2013,2024,Y,N
PostGIS,29.0,29.0,29.0,"Spatial, Multi-model",20.96,-0.76,-9.05,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no,2005,2024,Y,N
Firebird,30.0,30.0,31.0,Relational,20.41,-0.10,-5.75,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.0, January 2024",Open Source,Initial Developer's Public License,no,2000,2024,Y,N
Microsoft Azure Synapse Analytics,31.0,31.0,30.0,Relational,19.84,-0.09,-7.78,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes,2016,,N,Y
Memcached,32.0,32.0,33.0,Key-value,17.74,-0.34,-4.34,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.29, June 2024",Open Source,BSD license,no,2003,2024,Y,N
Apache Spark (SQL),33.0,33.0,37.0,Relational,17.7,-0.34,-1.93,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,Apache Software Foundation,Apache Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no,2014,2023,Y,N
Informix,34.0,34.0,34.0,"Relational, Multi-model",17.56,+0.45,-4.36,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no,1984,2020,N,N
OpenSearch,35.0,37.0,46.0,"Search engine, Multi-model",16.64,+0.61,+3.77,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS",Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no,2021,2023,Y,N
Couchbase,36.0,36.0,32.0,"Document, Multi-model",16.41,-0.17,-8.72,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Couchbase, Inc.","A distributed,document store,with integrated cache, a powerful search engine, in-built operational and analytical capabilities, and an embedded mobile database",2011.0,"Server: 7.2, June 2023; Mobile: 3.1, March 2022; Couchbase Capella (DBaaS), June 2023",Open Source,Business Source License (BSL 1.1); Commercial licenses also available,no,2011,2023,Y,N
ClickHouse,37.0,38.0,40.0,"Relational, Multi-model",15.17,-0.38,-0.13,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"A high-performance, column-oriented SQL DBMS for online analytical processing (OLAP) that uses all available system resources to their full potential to process each analytical query as fast as possible. It is available as both an open-source software and a cloud offering.",2016.0,"v24.6.2.17-stable, July 2024",Open Source,Apache 2.0,no,2016,2024,Y,N
Amazon Redshift,38.0,35.0,35.0,Relational,15.07,-1.82,-5.29,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes,2012,,N,Y
Firebase Realtime Database,39.0,39.0,38.0,Document,13.87,+0.23,-4.85,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes,2012,,N,Y
Apache Impala,40.0,40.0,36.0,"Relational, Multi-model",12.57,+0.13,-7.09,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store",Apache Software Foundation,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no,2013,2022,Y,N
Apache Flink,41.0,41.0,45.0,Relational,10.23,-1.07,-3.56,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.19.1, June 2024",Open Source,,no,,2024,Y,N
Vertica,42.0,42.0,41.0,"Relational, Multi-model",9.96,-0.10,-5.20,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no,2005,2023,N,N
dBASE,43.0,44.0,43.0,Relational,9.52,-0.18,-5.17,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no,1979,2019,N,N
Presto,44.0,43.0,42.0,Relational,8.49,-1.26,-6.38,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no,2013,,Y,N
Greenplum,45.0,48.0,48.0,"Relational, Multi-model",8.23,+0.16,-2.10,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"7.0.0, September 2023",Open Source,Apache 2.0,no,2005,2023,Y,N
Netezza,46.0,45.0,39.0,Relational,8.15,-0.43,-7.47,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no,2000,,N,N
H2,47.0,46.0,52.0,"Relational, Multi-model",8.01,-0.32,-0.85,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no,2005,2023,Y,N
CouchDB,48.0,47.0,44.0,"Document, Multi-model",7.82,-0.48,-6.58,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.3, December 2023",Open Source,Apache version 2,no,2005,2023,Y,N
Kdb,49.0,49.0,55.0,Multi-model,7.58,-0.12,-0.64,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no,2000,2018,N,N
Realm,50.0,52.0,54.0,Document,7.34,-0.07,-0.91,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no,2014,,Y,N
Prometheus,51.0,50.0,56.0,Time Series,7.33,-0.35,-0.72,https://db-engines.com/en/system/Prometheus,,,Open-source Time Series DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no,2015,,Y,N
Amazon Aurora,52.0,51.0,50.0,"Relational, Multi-model",7.32,-0.25,-2.07,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes,2015,,N,Y
etcd,53.0,54.0,51.0,Key-value,6.99,-0.04,-2.01,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no,,2019,Y,N
Google Cloud Firestore,54.0,53.0,47.0,Document,6.75,-0.61,-3.61,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes,2017,,N,Y
Oracle Essbase,55.0,57.0,49.0,Relational,5.98,+0.05,-3.57,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no,1998,2020,N,N
Sphinx,56.0,55.0,70.0,Search engine,5.96,+0.01,-0.12,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no,2001,2023,Y,N
Microsoft Azure AI Search,57.0,59.0,68.0,"Search engine, Multi-model",5.68,+0.15,-0.67,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS",Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes,2015,,N,Y
Algolia,58.0,64.0,57.0,Search engine,5.57,+0.41,-2.36,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes,2012,,N,Y
Trino,59.0,65.0,63.0,"Relational, Multi-model",5.44,+0.45,-1.19,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no,2012,,Y,N
Hazelcast,60.0,61.0,58.0,"Key-value, Multi-model",5.32,-0.14,-2.47,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.6, November 2023",Open Source,Apache Version 2; commercial licenses available,no,2008,2023,Y,N
Aerospike,61.0,60.0,66.0,Multi-model,5.16,-0.35,-1.32,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"7.1, May 2024",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no,2012,2024,Y,N
Apache Jackrabbit,62.0,66.0,65.0,Content,5.15,+0.25,-1.38,https://db-engines.com/en/system/Apache+Jackrabbit,,Apache Software Foundation,,2006.0,"2.20.6, July 2022",Open Source,,no,2006,2022,Y,N
Datastax Enterprise,63.0,56.0,59.0,"Wide column, Multi-model",5.1,-0.83,-2.10,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no,2011,2020,N,N
Graphite,64.0,67.0,74.0,Time Series,5.04,+0.22,-0.78,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no,2006,,Y,N
DuckDB,65.0,69.0,106.0,Relational,4.79,+0.16,+1.43,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"1.0.0, June 2024",Open Source,MIT License,no,2018,2024,Y,N
CockroachDB,66.0,58.0,60.0,Relational,4.45,-1.28,-2.59,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"24.1.0, May 2024",Open Source,"Apache 2.0, commercial license available",no,2015,2024,Y,N
MarkLogic,67.0,63.0,53.0,Multi-model,4.42,-0.75,-4.17,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no,2001,2022,N,N
Apache Derby,68.0,70.0,62.0,Relational,4.42,-0.18,-2.39,https://db-engines.com/en/system/Apache+Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no,1997,2023,Y,N
Ehcache,69.0,68.0,64.0,Key-value,4.26,-0.39,-2.34,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no,2009,2022,Y,N
SingleStore,70.0,62.0,69.0,"Relational, Multi-model",4.12,-1.26,-2.08,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.5, January 2024",commercial,free developer edition available,no,2013,2024,N,N
Google Cloud Datastore,71.0,72.0,75.0,Document,4.06,-0.30,-1.56,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes,2008,,N,Y
Virtuoso,72.0,73.0,83.0,Multi-model,3.98,-0.29,-0.91,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no,1998,2023,Y,N
Riak KV,73.0,79.0,76.0,Key-value,3.95,-0.07,-1.58,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no,2009,2022,Y,N
TimescaleDB,74.0,71.0,84.0,"Time Series, Multi-model",3.9,-0.55,-0.88,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.15.0, May 2024",Open Source,Apache 2.0,no,2017,2024,Y,N
ScyllaDB,75.0,76.0,67.0,"Wide column, Multi-model",3.84,-0.24,-2.53,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.4.1, January 2024",Open Source,"Open Source (AGPL), commercial license available",no,2015,2024,Y,N
Interbase,76.0,75.0,73.0,Relational,3.83,-0.25,-2.17,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no,1984,2019,N,N
Ingres,77.0,82.0,72.0,Relational,3.8,0.00,-2.20,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.2, May 2022",commercial,,no,1974,2022,N,N
DolphinDB,78.0,78.0,97.0,Multi-model,3.62,-0.40,-0.23,https://db-engines.com/en/system/DolphinDB,"Vector DBMS,Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no,2018,2022,N,N
SAP SQL Anywhere,79.0,80.0,77.0,Relational,3.59,-0.36,-1.91,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no,1992,2015,N,N
OpenEdge,80.0,85.0,90.0,Relational,3.58,+0.14,-0.72,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no,1984,2020,N,N
Microsoft Azure Data Explorer,81.0,81.0,61.0,"Relational, Multi-model",3.57,-0.23,-3.35,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes,2019,,N,Y
TiDB,82.0,74.0,107.0,"Relational, Multi-model",3.46,-0.79,+0.17,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed SQL database that supports Hybrid Transactional/Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"8.1.0, May 2024",Open Source,Apache 2.0,no,2016,2024,Y,N
Apache Accumulo,83.0,87.0,82.0,Wide column,3.46,+0.12,-1.48,https://db-engines.com/en/system/Apache+Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no,2008,2022,Y,N
Microsoft Azure Table Storage,84.0,77.0,71.0,Wide column,3.42,-0.63,-2.61,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes,2012,,N,Y
ArangoDB,85.0,88.0,87.0,Multi-model,3.42,+0.15,-1.15,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no,2012,2023,Y,N
HyperSQL,86.0,93.0,80.0,Relational,3.28,+0.05,-1.79,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no,2001,2023,Y,N
