DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Mar-2025,Rank_Mar-2025,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
Oracle,Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Oracle,N,Y,-,1253.08,1,-,-,Oracle,1980,2023,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1.0,0.0
MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,988.13,2,mysql,mysql-server,Oracle,1995,2024,Y,GPL version 2. Commercial licenses with extended functionallity are available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Microsoft SQL Server,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,788.14,3,-,-,Microsoft,1989,2022,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
PostgreSQL,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,663.42,4,postgres,postgres,PostgreSQL Global Development Group,1989,2024,Y,BSD,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0,1.0
MongoDB,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,396.42,5,mongodb,mongo,"MongoDB, Inc",2009,2024,Y,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,N,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0
Snowflake,Relational,Relational DBMS,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,161.78,6,twitter-archive,snowflake,Snowflake Computing Inc.,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Redis,Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/Redis,Y,Y,redis/redis,155.36,7,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009,2024,Y,"source-available extensions (modules), commercial licenses for Redis Enterprise",N,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0
Elasticsearch,Search engine,"Search engine,Vector DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,131.38,8,elastic,elasticsearch,Elastic,2010,2023,Y,Elastic License,N,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,1.0
IBM Db2,Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",https://db-engines.com/en/system/IBM+Db2,N,Y,-,126.57,9,-,-,IBM,1983,2016,N,free version is available,N,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1.0,0.0
SQLite,Relational,Relational DBMS,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,113.08,10,sqlite,sqlite,Dwayne Richard Hipp,2000,2024,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Cassandra,Wide column,"Wide column store,Vector DBMS",https://db-engines.com/en/system/Apache+Cassandra,,,,106.65,11,,,Apache Software Foundation,2008,2024,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
Microsoft Access,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,96.72,12,-,-,Microsoft,1992,2019,N,Bundled with Microsoft Office,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Databricks,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Databricks,N,N,-,96.01,13,-,-,Databricks,2013,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
MariaDB,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,94.23,14,MariaDB,server,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009,2024,Y,"GPL version 2, commercial enterprise subscription available",N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Splunk,Search engine,Search engine,https://db-engines.com/en/system/Splunk,N,,-,78.87,15,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Amazon DynamoDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,76.57,16,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Microsoft Azure SQL Database,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,73.91,17,-,-,Microsoft,2010,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Apache Hive,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Hive,,,,70.08,18,,,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Google BigQuery,Relational,Relational DBMS,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,57.96,19,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Neo4j,Graph,Graph DBMS,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,46.15,20,neo4j,neo4j,"Neo4j, Inc.",2007,2024,Y,"GPL version3, commercial licenses available",N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
FileMaker,Relational,Relational DBMS,https://db-engines.com/en/system/FileMaker,N,,-,39.06,21,-,-,Claris,1983,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
SAP HANA,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+HANA,N,,-,34.27,22,-,-,SAP,2010,2023,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Teradata,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Teradata,N,,-,34.04,23,-,-,Teradata,1984,2019,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
Apache Solr,Search engine,"Search engine,Spatial DBMS",https://db-engines.com/en/system/Apache+Solr,,,,32.67,24,,,Apache Software Foundation,2006,2024,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
SAP Adaptive Server,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,29.0,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Apache HBase,Wide column,Wide column store,https://db-engines.com/en/system/Apache+HBase,,,,24.08,26,,,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Microsoft Azure Cosmos DB,Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,22.27,27,-,-,Microsoft,2014,,N,,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.0
InfluxDB,Time Series,"Time Series DBMS,Spatial DBMS",https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,21.5,28,influxdata,influxdb,,2013,2024,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
PostGIS,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,19.96,29,postgis,postgis,,2005,2024,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Apache Spark (SQL),Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,,,19.76,30,,,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
ClickHouse,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,18.61,31,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
OpenSearch,Search engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,16.97,32,opensearch-project,OpenSearch,The OpenSearch Software Foundation,2021,2025,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0
Firebird,Relational,Relational DBMS,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,16.82,33,FirebirdSQL,firebird,Firebird Foundation,2000,2024,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Memcached,Key-value,Key-value store,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,15.78,34,memcached,memcached,Danga Interactive,2003,2024,Y,BSD license,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Informix,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Informix,N,Y,-,15.49,35,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
Couchbase,Document,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store",https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,15.05,36,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2024,Y,Business Source License (BSL 1.1); Commercial licenses also available,N,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1.0,0.0
Amazon Redshift,Relational,Relational DBMS,https://db-engines.com/en/system/Amazon+Redshift,N,,-,14.57,37,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Microsoft Azure Synapse Analytics,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,14.19,38,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Firebase Realtime Database,Document,Document store,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,13.49,39,-,-,Google,2012,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Apache Impala,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Apache+Impala,,,,11.58,40,,,Apache Software Foundation,2013,2022,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Apache Flink,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Flink,Y,,apache/flink,11.31,41,apache,flink,Apache Software Foundation and contributors,,2024,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Vertica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Vertica,N,Y,-,10.13,42,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
dBASE,Relational,Relational DBMS,https://db-engines.com/en/system/dBASE,N,,-,8.28,43,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Amazon Aurora,Relational,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Amazon+Aurora,N,,-,7.99,44,-,-,Amazon,2015,2024,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0
Greenplum,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb-archive,7.83,45,greenplum-db,gpdb-archive,Pivotal Software Inc.,2005,2023,N,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
CouchDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,7.34,46,apache,couchdb,Apache Software Foundation,2005,2023,Y,Apache version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
Google Cloud Firestore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,7.11,47,-,-,Google,2017,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kdb,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,7.1,48,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,1.0
etcd,Key-value,Key-value store,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,7.08,49,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
H2,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/H2,Y,N,h2database/h2database,6.94,50,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
DuckDB,Relational,Relational DBMS,https://db-engines.com/en/system/DuckDB,Y,,duckdb/duckdb,6.71,51,duckdb,duckdb,,2018,2024,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Realm,Document,Document store,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,6.62,52,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Netezza,Relational,Relational DBMS,https://db-engines.com/en/system/Netezza,N,,-,6.45,53,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Prometheus,Time Series,Time Series DBMS,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,6.38,54,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Presto,Relational,Relational DBMS,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,6.12,55,prestodb,presto,Facebook; Presto Foundation,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Sphinx,Search engine,Search engine,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,5.81,56,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Oracle Essbase,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Essbase,N,,-,5.49,57,-,-,Oracle,1998,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Hazelcast,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,5.47,58,hazelcast,hazelcast,Hazelcast,2008,2023,Y,Apache Version 2; commercial licenses available,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Algolia,Search engine,Search engine,https://db-engines.com/en/system/Algolia,N,,-,5.47,59,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Aerospike,Document,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,5.22,60,aerospike,aerospike-server,Aerospike,2012,2025,Y,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,N,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1.0,0.0
Microsoft Azure AI Search,Search engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Microsoft+Azure+AI+Search,N,,-,5.16,61,-,-,Microsoft,2015,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,
Trino,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",https://db-engines.com/en/system/Trino,Y,,trinodb/trino,5.13,62,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1.0,0.0
Graphite,Time Series,Time Series DBMS,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,4.57,63,graphite-project,graphite-web,Chris Davis,2006,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
SingleStore,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/SingleStore,N,,-,4.52,64,-,-,SingleStore Inc.,2013,2024,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.0,1.0
CockroachDB,Relational,Relational DBMS,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,4.4,65,cockroachdb,cockroach,Cockroach Labs,2015,2024,Y,"Apache 2.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Ehcache,Key-value,Key-value store,https://db-engines.com/en/system/Ehcache,Y,Y,ehcache/ehcache3,4.22,66,ehcache,ehcache3,"Terracotta Inc, owned by Software AG",2009,2022,Y,Apache Version 2; commercial licenses available,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Apache Jackrabbit,Content,Content stores,https://db-engines.com/en/system/Apache+Jackrabbit,,,,4.2,67,,,Apache Software Foundation,2006,2022,Y,,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MarkLogic,Document,"Document store,Native XML DBMS,RDF store,Search engine",https://db-engines.com/en/system/MarkLogic,N,,-,4.0,68,-,-,MarkLogic Corp.,2001,2022,N,restricted free version is available,N,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.0,0.0
Datastax Enterprise,Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",https://db-engines.com/en/system/Datastax+Enterprise,N,,-,3.89,69,-,-,DataStax,2011,2020,N,,N,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1.0,1.0
Google Cloud Datastore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,3.78,70,-,-,Google,2008,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
TiDB,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,3.74,71,pingcap,tidb,"PingCAP, Inc.",2016,2024,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
ScyllaDB,Wide column,"Wide column store,Key-value store",https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,3.61,72,scylladb,scylla,ScyllaDB,2015,2024,Y,"Open Source (AGPL), commercial license available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
TimescaleDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,3.48,73,timescale,timescaledb,Timescale,2017,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
OpenEdge,Relational,Relational DBMS,https://db-engines.com/en/system/OpenEdge,N,,-,3.48,74,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Interbase,Relational,Relational DBMS,https://db-engines.com/en/system/Interbase,N,,-,3.44,75,-,-,Embarcadero,1984,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Derby,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Derby,,,,3.42,76,,,Apache Software Foundation,1997,2023,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Riak KV,Key-value,Key-value store,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,3.39,77,basho,riak_kv,"OpenSource, formerly Basho Technologies",2009,2022,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Oracle NoSQL,Document,"Document store,Key-value store,Relational DBMS",https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,3.35,78,oracle,nosql-go-sdk,Oracle,2011,2024,Y,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Ingres,Relational,Relational DBMS,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,3.32,79,fosslc,Ingres,Actian Corporation,1974,2024,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Virtuoso,Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,3.2,80,openlink,virtuoso-opensource,OpenLink Software,1998,2023,Y,"GPLv2, extended commercial license available",N,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1.0,0.0
Pinecone,Vector,Vector DBMS,https://db-engines.com/en/system/Pinecone,N,Y,-,3.17,81,-,-,"Pinecone Systems, Inc",2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
RocksDB,Key-value,Key-value store,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,3.15,82,facebook,rocksdb,"Facebook, Inc.",2013,2024,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SAP SQL Anywhere,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,3.12,83,-,-,SAP,1992,2015,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
QuestDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/QuestDB,Y,,questdb/questdb,3.1,84,questdb,questdb,QuestDB Technology Inc,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
HyperSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,3.03,85,ryenus,hsqldb,,2001,2023,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Ignite,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Apache+Ignite,,,,2.99,86,,,Apache Software Foundation,2015,2023,Y,Apache 2.0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,
Microsoft Azure Data Explorer,Relational,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,2.94,87,-,-,Microsoft,2019,,N,,Y,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.0,0.0
ArangoDB,Document,"Document store,Graph DBMS,Key-value store,Search engine",https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,2.87,88,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Apache Druid,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Apache+Druid,Y,N,apache/druid,2.79,89,apache,druid,Apache Software Foundation and contributors,2012,2024,Y,Apache license v2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
Adabas,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,2.78,90,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Milvus,Vector,Vector DBMS,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,2.77,91,milvus-io,milvus,,2019,2024,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
OrientDB,Document,"Document store,Graph DBMS,Key-value store",https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,2.72,92,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010,2024,Y,Apache version 2,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Google Cloud Spanner,Relational,Relational DBMS,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,2.71,93,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
GraphDB,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/GraphDB,N,,-,2.68,94,-,-,Ontotext,2000,2023,N,Some plugins of GraphDB Workbench are open sourced,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Google Cloud Bigtable,Key-value,"Key-value store,Wide column store",https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,2.67,95,-,-,Google,2015,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
Apache Jena - TDB,RDF,RDF store,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,2.66,96,apache,jena,Apache Software Foundation,2000,2023,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Microsoft Azure Table Storage,Wide column,Wide column store,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,2.66,97,-,-,Microsoft,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
