DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Jan-2024,Rank_Jan-2024,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector,Wide column,Vector DBMS
Infinispan,Key-value,Key-value store,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,3.55,100,infinispan,infinispan,,2009,2023,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Google Cloud Spanner,Relational,Relational DBMS,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,3.49,101,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
YugabyteDB,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,3.47,102,yugabyte,yugabyte-db,Yugabyte Inc.,2017,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
TDengine,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TDengine,Y,,taosdata/TDengine,3.43,103,taosdata,TDengine,"TDEngine, previously Taos Data",2019,2022,Y,"GPL V3, also commercial editions available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
LevelDB,Key-value,Key-value store,https://db-engines.com/en/system/LevelDB,Y,,google/leveldb,3.39,104,google,leveldb,Google,2011,2021,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
IBM Cloudant,Document,Document store,https://db-engines.com/en/system/IBM+Cloudant,N,,-,3.32,105,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Oracle Berkeley DB,Key-value,"Key-value store,Native XML DBMS",https://db-engines.com/en/system/Oracle+Berkeley+DB,Y,,berkeleydb/libdb,3.28,106,berkeleydb,libdb,Oracle,1994,2020,Y,commercial license available,N,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
MaxDB,Relational,Relational DBMS,https://db-engines.com/en/system/MaxDB,N,,-,3.27,107,-,-,"SAP, acquired from Software AG (Adabas-D) in 1997",1984,2020,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Pinecone,Vector,Vector DBMS,https://db-engines.com/en/system/Pinecone,N,Y,-,3.21,108,-,-,"Pinecone Systems, Inc",2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
Memgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Memgraph,Y,,memgraph/memgraph,3.15,109,memgraph,memgraph,Memgraph Ltd,2017,,N,Free license available,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4D,Relational,Relational DBMS,https://db-engines.com/en/system/4D,N,,-,3.07,110,-,-,"4D, Inc",1984,2023,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
CloudKit,Document,Document store,https://db-engines.com/en/system/CloudKit,Y,,jcrosby/cloudkit,2.91,111,jcrosby,cloudkit,,2016,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PouchDB,Document,Document store,https://db-engines.com/en/system/PouchDB,Y,N,pouchdb/pouchdb,2.88,112,pouchdb,pouchdb,Apache Software Foundation,2012,2019,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Amazon Neptune,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Amazon+Neptune,N,,-,2.87,113,-,-,Amazon,2017,,N,,Y,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Geode,Key-value,Key-value store,https://db-engines.com/en/system/Geode,Y,,apache/geode,2.82,114,apache,geode,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,2002,2017,Y,Apache Version 2; commercial licenses available as Gemfire,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
RRDtool,Time Series,Time Series DBMS,https://db-engines.com/en/system/RRDtool,Y,,oetiker/rrdtool-1.x,2.8,115,oetiker,rrdtool-1.x,Tobias Oetiker,1999,2022,Y,GPL V2 and FLOSS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
NebulaGraph,Graph,Graph DBMS,https://db-engines.com/en/system/NebulaGraph,Y_archivedas_nebula-graph,Y,vesoft-inc/nebula,2.8,116,vesoft-inc,nebula,Vesoft Inc.,2019,,Y,Apache Version 2.0 + Common Clause 1.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Percona Server for MySQL,Relational,Relational DBMS,https://db-engines.com/en/system/Percona+Server+for+MySQL,Y_replacementfor_MySQL,N,percona/percona-server,2.78,117,percona,percona-server,Percona,2008,2023,Y,GPL version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
HEAVY.AI,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/HEAVY.AI,Y,Y,heavyai/heavydb,2.77,118,heavyai,heavydb,"HEAVY.AI, Inc.",2016,2022,Y,Apache Version 2; enterprise edition available,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
EXASOL,Relational,Relational DBMS,https://db-engines.com/en/system/EXASOL,N,,-,2.77,119,-,-,Exasol,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
GraphDB,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/GraphDB,N,,-,2.73,120,-,-,Ontotext,2000,2023,N,Some plugins of GraphDB Workbench are open sourced,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
QuestDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/QuestDB,Y,,questdb/questdb,2.72,121,questdb,questdb,QuestDB Technology Inc,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
Apache Drill,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Apache+Drill,Y,N,apache/drill,2.71,122,apache,drill,Apache Software Foundation,2012,2023,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
LMDB,Key-value,Key-value store,https://db-engines.com/en/system/LMDB,Y,,LMDB/lmdb,2.68,123,LMDB,lmdb,Symas,2011,2023,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Apache Phoenix,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Phoenix,Y,N,apache/phoenix,2.67,124,apache,phoenix,Apache Software Foundation,2014,2019,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
InterSystems Caché,Key-value,"Key-value store,Object oriented DBMS,Relational DBMS,Document store",https://db-engines.com/en/system/InterSystems+Cach%C3%A9,N,,-,2.66,125,-,-,InterSystems,1997,2020,N,,N,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0
Oracle Coherence,Key-value,Key-value store,https://db-engines.com/en/system/Oracle+Coherence,Y_CommunityEdition,,oracle/coherence,2.64,126,oracle,coherence,Oracle,2007,2016,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
InterSystems IRIS,Document,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/InterSystems+IRIS,N,,-,2.54,127,-,-,InterSystems,2018,2021,N,,N,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0
EDB Postgres,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/EDB+Postgres,N,,-,2.54,128,-,-,EnterpriseDB,2005,2021,N,BSD for PostgreSQL-components,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Citus,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Citus,Y,,citusdata/citus,2.53,129,citusdata,citus,,2010,2018,Y,"AGPL, commercial license also available",N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Coveo,Search engine,Search engine,https://db-engines.com/en/system/Coveo,N,,-,2.52,130,-,-,Coveo,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
JanusGraph,Graph,Graph DBMS,https://db-engines.com/en/system/JanusGraph,Y,,JanusGraph/janusgraph,2.51,131,JanusGraph,janusgraph,"Linux Foundation; originally developed as,Titan,by Aurelius",2017,2023,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Amazon CloudSearch,Search engine,Search engine,https://db-engines.com/en/system/Amazon+CloudSearch,N,,-,2.42,132,-,-,Amazon,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Firebolt,Relational,Relational DBMS,https://db-engines.com/en/system/Firebolt,Y,,firebolt-db/firebolt-python-sdk,2.37,133,firebolt-db,firebolt-python-sdk,Firebolt Analytics Inc.,2020,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Datomic,Relational,Relational DBMS,https://db-engines.com/en/system/Datomic,N,,-,2.35,134,-,-,Cognitect,2012,2023,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Amazon SimpleDB,Key-value,Key-value store,https://db-engines.com/en/system/Amazon+SimpleDB,N,,-,2.34,135,-,-,Amazon,2007,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
IMS,Navigational,Navigational DBMS,https://db-engines.com/en/system/IMS,N,,-,2.33,136,-,-,IBM,1966,2017,N,,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
SpatiaLite,Spatial DBMS,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/SpatiaLite,Y,,illarionov/SpatiaLite,2.3,137,illarionov,SpatiaLite,Alessandro Furieri,2008,2020,Y,"MPL 1.1, GPL v2.0 or LGPL v2.1",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Empress,Relational,Relational DBMS,https://db-engines.com/en/system/Empress,N,,-,2.29,138,-,-,,1981,2010,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Chroma,Vector,Vector DBMS,https://db-engines.com/en/system/Chroma,Y,,chroma-core/chroma,2.23,139,chroma-core,chroma,Chroma,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
OpenTSDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/OpenTSDB,Y,,OpenTSDB/opentsdb,2.21,140,OpenTSDB,opentsdb,currently maintained by Yahoo and other contributors,2011,,Y,LGPL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Stardog,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Stardog,N,,-,2.19,141,-,-,Stardog-Union,2010,2020,N,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
MonetDB,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MonetDB,Y,,MonetDB/MonetDB,2.19,142,MonetDB,MonetDB,MonetDB BV,2004,2021,Y,Mozilla Public License 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
GridDB,Time Series,"Time Series DBMS,Key-value store,Relational DBMS",https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,2.17,143,griddb,griddb,Toshiba Corporation,2013,2022,Y,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0
BaseX,Native XML,Native XML DBMS,https://db-engines.com/en/system/BaseX,Y,,BaseXdb/basex,2.14,144,BaseXdb,basex,BaseX GmbH,2007,2023,Y,BSD license,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Tarantool,Document,"Document store,Key-value store,Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/Tarantool,Y,,tarantool/tarantool,2.1,145,tarantool,tarantool,VK,2008,2022,Y,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",N,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0
Tibero,Relational,Relational DBMS,https://db-engines.com/en/system/Tibero,N,,-,2.06,146,-,-,TmaxSoft,2003,2015,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Amazon DocumentDB,Document,Document store,https://db-engines.com/en/system/Amazon+DocumentDB,N,,-,2.05,147,-,-,,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PlanetScale,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/PlanetScale,N,,-,2.05,148,-,-,PlanetScale,2020,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Weaviate,Vector,Vector DBMS,https://db-engines.com/en/system/Weaviate,Y,,semi-technologies/weaviate,2.03,149,semi-technologies,weaviate,Weaviate B.V.,2019,2023,Y,commercial license available with Weaviate Enterprise,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
jBASE,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/jBASE,N,,-,2.02,150,-,-,Rocket Software (formerly Zumasys),1991,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
TigerGraph,Graph,Graph DBMS,https://db-engines.com/en/system/TigerGraph,N,,-,2.0,151,-,-,,2017,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Fauna,Document,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Fauna,N,,-,1.96,152,-,-,"Fauna, Inc.",2014,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.0
VoltDB,Relational,Relational DBMS,https://db-engines.com/en/system/VoltDB,Y,Y,VoltDB/voltdb,1.95,153,VoltDB,voltdb,VoltDB Inc.,2010,2022,Y,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Db4o,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Db4o,Y,,iboxdb/db4o-gpl,1.92,154,iboxdb,db4o-gpl,,2001,,Y,commercial license available for existing customers only,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Dgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Dgraph,Y,Y,dgraph-io/dgraph,1.89,155,dgraph-io,dgraph,"Dgraph Labs, Inc.",2016,,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
GridGain,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/GridGain,Y_CommunityEdition,,gridgain/gridgain,1.89,156,gridgain,gridgain,"GridGain Systems, Inc.",2007,,N,,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0
IBM Db2 warehouse,Relational,Relational DBMS,https://db-engines.com/en/system/IBM+Db2+warehouse,N,,-,1.89,157,-,-,IBM,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
ObjectStore,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectStore,N,,-,1.88,158,-,-,Ignite Technologies,1988,2014,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
TimesTen,Relational,Relational DBMS,https://db-engines.com/en/system/TimesTen,N,,-,1.84,159,-,-,"Oracle, TimesTen Performance Software, HP",1998,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Mnesia,Document,Document store,https://db-engines.com/en/system/Mnesia,Y,,beardedeagle/mnesiac,1.81,160,beardedeagle,mnesiac,,1999,2018,Y,proprietary license,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LiteDB,Document,Document store,https://db-engines.com/en/system/LiteDB,Y,,mbdavid/LiteDB,1.81,161,mbdavid,LiteDB,Mauricio David,2014,,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SQLBase,Relational,Relational DBMS,https://db-engines.com/en/system/SQLBase,N,,-,1.79,162,-,-,,1985,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Actian NoSQL Database,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Actian+NoSQL+Database,N,,-,1.79,163,-,-,Actian,1988,2017,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Sedna,Native XML,Native XML DBMS,https://db-engines.com/en/system/Sedna,Y,,sedna/sedna,1.75,164,sedna,sedna,,2006,,Y,Apache Version 2,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
FoundationDB,Document,"Document store,Key-value store,Relational DBMS",https://db-engines.com/en/system/FoundationDB,Y,,apple/foundationdb,1.71,165,apple,foundationdb,FoundationDB,2013,2020,Y,Apache 2.0,N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0
mSQL,Relational,Relational DBMS,https://db-engines.com/en/system/mSQL,N,,-,1.63,166,-,-,Hughes Technologies,1994,2021,N,free licenses can be provided,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
D3,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/D3,N,,-,1.6,167,-,-,,1999,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Oracle Rdb,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Rdb,N,,-,1.57,168,-,-,"Oracle, originally developed by Digital Equipment Corporation (DEC)",1984,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
VictoriaMetrics,Time Series,Time Series DBMS,https://db-engines.com/en/system/VictoriaMetrics,Y,,VictoriaMetrics/VictoriaMetrics,1.57,169,VictoriaMetrics,VictoriaMetrics,VictoriaMetrics,2018,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Apache Kylin,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Kylin,Y,Y,apache/kylin,1.56,170,apache,kylin,"Apache Software Foundation, originally contributed from eBay Inc",2015,2020,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
OceanBase,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/OceanBase,Y,,oceanbase/oceanbase,1.55,171,oceanbase,oceanbase,OceanBase,2011,2022,Y,Commercial license available,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
GT.M,Key-value,Key-value store,https://db-engines.com/en/system/GT.M,N,,-,1.53,172,-,-,,1986,2021,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
DataEase,Relational,Relational DBMS,https://db-engines.com/en/system/DataEase,N,,-,1.53,173,-,-,,1981,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
GigaSpaces,Document,"Document store,Object oriented DBMS,Graph DBMS,Search engine",https://db-engines.com/en/system/GigaSpaces,N_Image_Gigaspaces/docker,Y,-,1.5,174,-,-,Gigaspaces Technologies,2000,2020,Y,Apache Version 2; Commercial licenses available,N,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0
Infobright,Relational,Relational DBMS,https://db-engines.com/en/system/Infobright,N,,-,1.48,175,-,-,Ignite Technologies Inc.; formerly InfoBright Inc.,2005,,N,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
EventStoreDB,Event,Event Store,https://db-engines.com/en/system/EventStoreDB,Y,,EventStore/EventStore,1.47,176,EventStore,EventStore,Event Store Limited,2012,2021,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cubrid,Relational,Relational DBMS,https://db-engines.com/en/system/Cubrid,Y,,CUBRID/cubrid,1.47,177,CUBRID,cubrid,"CUBRID Corporation, CUBRID Foundation",2008,2021,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Datameer,Document,Document store,https://db-engines.com/en/system/Datameer,N,,-,1.46,178,-,-,,2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
GBase,Relational,Relational DBMS,https://db-engines.com/en/system/GBase,N,,-,1.46,179,-,-,,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Giraph,Graph,Graph DBMS,https://db-engines.com/en/system/Giraph,Y,,apache/giraph,1.46,180,apache,giraph,,2013,2020,Y,Apache Version 2,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Meilisearch,Search engine,Search engine,https://db-engines.com/en/system/Meilisearch,Y,,meilisearch/meilisearch,1.45,181,meilisearch,meilisearch,,2020,,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
openGauss,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/openGauss,Y,,opengauss-mirror/openGauss-server,1.45,182,opengauss-mirror,openGauss-server,Huawei and openGauss community,2019,2022,Y,,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Milvus,Vector,Vector DBMS,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,1.44,183,milvus-io,milvus,,2019,2024,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
ObjectBox,Object oriented,"Object oriented DBMS,Time Series DBMS",https://db-engines.com/en/system/ObjectBox,Y,,objectbox/objectbox-java,1.39,184,objectbox,objectbox-java,ObjectBox Limited,2017,,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
MatrixOne,Relational,Relational DBMS,https://db-engines.com/en/system/MatrixOne,Y,,matrixorigin/matrixone,1.39,185,matrixorigin,matrixone,,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
HFSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HFSQL,N,,-,1.39,186,-,-,PC Soft,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Perst,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Perst,Y,,The-Alchemist/perst,1.39,187,The-Alchemist,perst,,2003,,Y,commercial license available,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Model 204,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Model+204,N,,-,1.37,188,-,-,,1972,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Altibase,Relational,Relational DBMS,https://db-engines.com/en/system/Altibase,Y,,ALTIBASE/altibase,1.36,189,ALTIBASE,altibase,Altibase,1999,2021,N,Open source edition discontinued with March 2023,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Apache HAWQ,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+HAWQ,Y,,apache/hawq,1.34,190,apache,hawq,Pivotal Software; Apache,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
NCache,Key-value,"Key-value store,Document store,Search engine",https://db-engines.com/en/system/NCache,Y,,Alachisoft/NCache,1.33,191,Alachisoft,NCache,Alachisoft,2005,2022,Y,Enterprise Edition available,N,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
ZODB,Key-value,Key-value store,https://db-engines.com/en/system/ZODB,Y,,zopefoundation/ZODB,1.33,192,zopefoundation,ZODB,,2009,2023,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Amazon Timestream,Time Series,Time Series DBMS,https://db-engines.com/en/system/Amazon+Timestream,N,,-,1.31,193,-,-,,2018,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
NonStop SQL,Relational,Relational DBMS,https://db-engines.com/en/system/NonStop+SQL,N,,-,1.31,194,-,-,"HP, originally by Tandem",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Northgate Reality,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Northgate+Reality,N,,-,1.29,195,-,-,,1973,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
AllegroGraph,Document,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",https://db-engines.com/en/system/AllegroGraph,N,,-,1.27,196,-,-,Franz Inc.,2004,2023,N,Limited community edition free,N,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.0
HPE Ezmeral Data Fabric,Document,"Document store,Wide column store",https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,N,,-,1.25,197,-,-,"HPE, MapR Technologies, Inc",2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Qdrant,Vector,Vector DBMS,https://db-engines.com/en/system/Qdrant,Y,,qdrant/qdrant,1.24,198,qdrant,qdrant,Qdrant,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
Xapian,Search engine,Search engine,https://db-engines.com/en/system/Xapian,Y,,xapian/xapian,1.23,199,xapian,xapian,,1986,2023,Y,GPLv2,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1010data,Relational,Relational DBMS,https://db-engines.com/en/system/1010data,N,,-,1.22,200,-,-,,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Apache IoTDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/Apache+IoTDB,Y,N,apache/iotdb,1.22,201,apache,iotdb,Apache Software Foundation,2018,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Dolt,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Dolt,Y,Y,dolthub/dolt,1.21,202,dolthub,dolt,DoltHub Inc,2018,,Y,Apache Version 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
SurrealDB,Document,"Document store,Graph DBMS",https://db-engines.com/en/system/SurrealDB,Y,,surrealdb/surrealdb,1.2,203,surrealdb,surrealdb,SurrealDB Ltd,2022,2024,Y,,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
NuoDB,Relational,Relational DBMS,https://db-engines.com/en/system/NuoDB,N,,-,1.18,204,-,-,Dassault Systèmes,2013,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
TypeDB,Graph,"Graph DBMS,Relational DBMS",https://db-engines.com/en/system/TypeDB,Y,,vaticle/typedb,1.17,205,vaticle,typedb,Vaticle,2016,2024,Y,"GPL Version 3, commercial licenses available",N,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Rockset,Document,"Document store,Relational DBMS,Search engine",https://db-engines.com/en/system/Rockset,N,,-,1.16,206,-,-,Rockset,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
